### Format: relation|@id|@name|@place|@highway|@route|@ref|@oneway|@maxspeed|relation_type|membertype;@id;@role|...
### Format: way|@id|@name|@place|@highway|@route|@ref|@oneway|@maxspeed|member nodes|...
### Format: node|@id|@name|@place|@highway|@route|@ref|@oneway|@maxspeed|node_lat|node_lon
node|625025||||||||42.5142133|1.5527243
node|625026||||||||42.5144526|1.5526978
node|625027||||||||42.5152372|1.552978
node|625028||||||||42.5165425|1.553585
node|625029||||||||42.5168939|1.553855
node|625030||||||||42.517845|1.5552446
node|625032||||||||42.5213647|1.5587682
node|625033||||||||42.5219426|1.5596166
node|625034||||||||42.5226438|1.5607649
node|625035||||||||42.5240362|1.562236
node|625036||||||||42.5246014|1.5629123
node|625037||||||||42.5249341|1.5639411
node|625039||||||||42.5252182|1.5648976
node|625040||||||||42.5261618|1.5667319
node|625043||||||||42.5276059|1.5690898
node|625050|||crossing|||||42.5299751|1.5721059
node|625051||||||||42.5311524|1.5728774
node|625052||||||||42.5320693|1.5738617
node|625053||||||||42.5323793|1.5745827
node|625054|||crossing|||||42.5325912|1.57547
node|625055||||||||42.532784|1.5765225
node|625056||||||||42.5329945|1.5783732
node|625057||||||||42.5333856|1.5797467
node|625059||||||||42.5349819|1.5812634
node|625060||||||||42.535955|1.5820617
node|625061||||||||42.536377|1.5826863
node|625062||||||||42.5371237|1.583776
node|625063|||crossing|||||42.5368336|1.5847204
node|625064||||||||42.5362311|1.5850224
node|625065||||||||42.5349978|1.5857091
node|625066||||||||42.5347069|1.5857778
node|625067||||||||42.5341557|1.5852128
node|625069||||||||42.5335874|1.5855718
node|625070||||||||42.5342371|1.5864055
node|625071||||||||42.5220944|1.5598655
node|625072||||||||42.5372322|1.5843914
node|625074|||crossing|||||42.5355669|1.588504
node|625075||||||||42.5363706|1.5888636
node|625203||||||||42.5529412|1.588814
node|625204||||||||42.5534828|1.5886409
node|625208||||||||42.5587851|1.5892376
node|625209||||||||42.559423|1.5892947
node|625211||||||||42.5605364|1.5900058
node|625243||||||||42.5618825|1.5903665
node|625244||||||||42.5629718|1.590592
node|625245||||||||42.5638093|1.5910236
node|625256||||||||42.5658103|1.5974972
node|625257|||crossing|||||42.5658949|1.5977444
node|625259||||||||42.5666789|1.5998448
node|625260||||||||42.5672193|1.6010588
node|625261||||||||42.5675246|1.6016168
node|625263||||||||42.5680865|1.6026609
node|625264||||||||42.5684522|1.6037383
node|625265||||||||42.5695079|1.6047254
node|625266||||||||42.5699377|1.6048198
node|625267||||||||42.5707344|1.606263
node|625268|||crossing|||||42.5708747|1.6070441
node|625269||||||||42.5710375|1.6078067
node|625270||||||||42.5715805|1.6090412
node|625271||||||||42.5716145|1.6094201
node|625272||||||||42.571649|1.6112217
node|625273||||||||42.5719099|1.6116162
node|625274||||||||42.5724284|1.614551
node|625277||||||||42.5728193|1.6159162
node|625293||||||||42.5745308|1.6209781
node|625294||||||||42.5754858|1.6222301
node|625295||||||||42.5765189|1.6250633
node|625296||||||||42.577294|1.6257767
node|625297||||||||42.5776169|1.6260798
node|625298||||||||42.5778506|1.6268308
node|625299||||||||42.5780442|1.6292898
node|625300||||||||42.578417|1.630117
node|625301||||||||42.5783589|1.6317929
node|625302||||||||42.5781833|1.632957
node|625303||||||||42.5782708|1.6350497
node|625304||||||||42.578854|1.6375612
node|625305||||||||42.5788171|1.6389988
node|625306||||||||42.5794067|1.6404159
node|625307||||||||42.5795012|1.6418076
node|51110488||||||||42.4846487|1.491596
node|51110489||||||||42.4844676|1.4911951
node|51110491||||||||42.484443|1.4911331
node|51110493||||||||42.484406|1.4910803
node|51110495||||||||42.4843669|1.4910508
node|51110496||||||||42.4842659|1.4910399
node|51110498||||||||42.4841592|1.4912332
node|51110499||||||||42.484218|1.4914047
node|51110501||||||||42.4843246|1.4914739
node|51110502||||||||42.4849458|1.4920333
node|51113174||||||||42.5463974|1.7368331
node|51113175||||||||42.5467202|1.7369909
node|51113177||||||||42.5470002|1.7372094
node|51113179||||||||42.5475152|1.7374472
node|51113182||||||||42.548211|1.737762
node|51115528||||||||42.5434822|1.7353554
node|51115533||||||||42.5438359|1.7361444
node|51115534||||||||42.544031|1.7362934
node|51115535|||crossing|||||42.5443803|1.7364403
node|51115565||||||||42.5437339|1.7345537
node|51115566||||||||42.5436985|1.7340461
node|51115749||||||||42.5437443|1.7335593
node|51115750||||||||42.5438606|1.7336652
node|51115752||||||||42.5438742|1.7338335
node|51115753||||||||42.5438562|1.733886
node|51115754||||||||42.5437496|1.733981
node|51115756||||||||42.5436135|1.7339217
node|51115758||||||||42.543568|1.7337922
node|51115759||||||||42.5436595|1.7335765
node|51115811||||||||42.5438328|1.7339245
node|51115812||||||||42.543804|1.7340612
node|51115813||||||||42.5438019|1.7346905
node|51115815||||||||42.5437419|1.734942
node|51115856||||||||42.5436574|1.7339635
node|51116313||||||||42.5438533|1.7328665
node|51116314|||crossing|||||42.5437595|1.7332844
node|51116315||||||||42.543786|1.7335748
node|51116385||||||||42.5449132|1.732037
node|51116388||||||||42.5438103|1.7327419
node|51116389||||||||42.543747|1.7329159
node|51116390||||||||42.5437055|1.7330927
node|51116391||||||||42.543701|1.7335599
node|51118071||||||||42.5403246|1.7242392
node|51118074||||||||42.5408236|1.7247609
node|51118076||||||||42.5409152|1.7248027
node|51118077||||||||42.5411039|1.7248238
node|51118078||||||||42.5413108|1.7247987
node|51118080||||||||42.5414492|1.7247209
node|51118081||||||||42.5415695|1.7246568
node|51118082||||||||42.5416383|1.7246668
node|51118083||||||||42.5417066|1.7247434
node|51118085||||||||42.5417199|1.7248749
node|51118086||||||||42.5416862|1.7249656
node|51118087||||||||42.5415002|1.7250233
node|51118088||||||||42.5413704|1.7250363
node|51118090||||||||42.5413126|1.7250505
node|51118091||||||||42.5410783|1.7251721
node|51118092||||||||42.5408886|1.7253266
node|51118094||||||||42.5405083|1.7254597
node|51118095||||||||42.540404|1.7254484
node|51118096||||||||42.5402865|1.7254124
node|51118097||||||||42.5399948|1.7252122
node|51118099||||||||42.5398691|1.7250569
node|51118100||||||||42.5396308|1.7247069
node|51118102||||||||42.5395306|1.7244947
node|51118103||||||||42.5394638|1.7244003
node|51118104||||||||42.5393439|1.7243928
node|51118105||||||||42.5392834|1.7244772
node|51118107||||||||42.5392786|1.7246173
node|51118108||||||||42.53929|1.7246583
node|51118110||||||||42.5395817|1.7251763
node|51118111||||||||42.5399863|1.7258317
node|51118113||||||||42.5402373|1.7260297
node|51118114||||||||42.5404552|1.7261069
node|51118115||||||||42.5407349|1.7261669
node|51118117||||||||42.540967|1.7262528
node|51118118||||||||42.5412184|1.7264133
node|51118119||||||||42.5414078|1.7265989
node|51118121||||||||42.5415845|1.7268379
node|51118122||||||||42.5418415|1.7270809
node|51118123||||||||42.5419482|1.7271428
node|51118124||||||||42.5422711|1.7273071
node|51118127||||||||42.5429505|1.7276424
node|51118128||||||||42.5431495|1.7276636
node|51118129||||||||42.5432775|1.7276017
node|51118130||||||||42.5433865|1.7275565
node|51118131||||||||42.5434724|1.7275771
node|51118132||||||||42.5435417|1.7276948
node|51118133||||||||42.5435322|1.7278078
node|51118134||||||||42.5434814|1.7278929
node|51118135||||||||42.5433744|1.7279206
node|51118136||||||||42.5431993|1.7279107
node|51118137||||||||42.5428548|1.7278849
node|51118138||||||||42.5424608|1.727842
node|51118140||||||||42.542062|1.72778
node|51118141||||||||42.5417686|1.7276967
node|51118143||||||||42.5410475|1.7274126
node|51118144||||||||42.540747|1.7273766
node|51118145||||||||42.5405486|1.7273726
node|51118146||||||||42.5402878|1.7274294
node|51118149||||||||42.5398735|1.7277016
node|51118150||||||||42.5396603|1.7277786
node|51118151||||||||42.5393238|1.7277453
node|51118152||||||||42.5389912|1.7275762
node|51118153||||||||42.5385229|1.7273101
node|51118155||||||||42.5379726|1.7269871
node|51118157||||||||42.5376231|1.7266488
node|51118159||||||||42.5374565|1.7266627
node|51118160||||||||42.5373941|1.726769
node|51118161||||||||42.537403|1.7269557
node|51118162||||||||42.5374747|1.7270515
node|51118164||||||||42.5376033|1.7271684
node|51118165||||||||42.5377202|1.7273277
node|51118166||||||||42.5378172|1.7276396
node|51118168||||||||42.5378991|1.7278875
node|51118169||||||||42.5380735|1.728184
node|51118170||||||||42.5384168|1.7285775
node|51118171||||||||42.5388143|1.7290173
node|51118173||||||||42.5391263|1.7292545
node|51118174||||||||42.5394829|1.7293067
node|51118176||||||||42.5397381|1.7293209
node|51118177||||||||42.5400502|1.7293763
node|51118178||||||||42.5404511|1.7295216
node|51118179||||||||42.5409307|1.7297044
node|51118180||||||||42.5412268|1.729792
node|51118181||||||||42.5417494|1.7298744
node|51118182||||||||42.5421921|1.7299917
node|51118184||||||||42.5435263|1.7304158
node|51118185||||||||42.5438622|1.7305122
node|51118186||||||||42.544064|1.7305437
node|51118187||||||||42.5447587|1.7305525
node|51118188||||||||42.5454523|1.730646
node|51118189||||||||42.5458471|1.7307333
node|51118191||||||||42.5467453|1.7309267
node|51118192||||||||42.5472636|1.7313498
node|51118193||||||||42.5476308|1.7317211
node|51118194||||||||42.5480399|1.7320352
node|51118195||||||||42.5483884|1.7321802
node|51118196||||||||42.5485031|1.7321699
node|51118197||||||||42.5488357|1.7321907
node|51118198||||||||42.548857|1.732286
node|51118199||||||||42.5488409|1.7324093
node|51118202||||||||42.5484524|1.7324776
node|51118203||||||||42.5480703|1.7323317
node|51118204||||||||42.5478006|1.7322307
node|51118205||||||||42.5474139|1.7320824
node|51118206||||||||42.547036|1.7319172
node|51118207||||||||42.5468748|1.7318025
node|51118208||||||||42.5463569|1.7316842
node|51118209||||||||42.5462229|1.7317103
node|51118210||||||||42.5460014|1.7317642
node|51118211||||||||42.5456358|1.7318755
node|51118641||||||||42.5405516|1.7190445
node|51118642||||||||42.5402697|1.7192675
node|51118653||||||||42.5397894|1.7209431
node|51118655||||||||42.5391909|1.7199528
node|51118656||||||||42.5387477|1.7193567
node|51118658||||||||42.538396|1.7191344
node|51118659||||||||42.5380447|1.7191344
node|51118661||||||||42.5378266|1.7192646
node|51118662||||||||42.5376569|1.7194857
node|51118663||||||||42.5375353|1.7198188
node|51118664||||||||42.5375115|1.720254
node|51118666||||||||42.5375786|1.7206448
node|51118667||||||||42.5379263|1.721301
node|51118668||||||||42.5380652|1.7214768
node|51119058||||||||42.5419757|1.7109585
node|51119060||||||||42.5417952|1.711443
node|51119061||||||||42.5415747|1.7116655
node|51119062||||||||42.5412681|1.7117653
node|51119064||||||||42.5410331|1.7116869
node|51119065||||||||42.5408256|1.7115392
node|51119066||||||||42.5406927|1.7114905
node|51119067||||||||42.540646|1.7115188
node|51119069||||||||42.5405985|1.7115993
node|51119070||||||||42.540592|1.7117152
node|51119071||||||||42.5406307|1.7118114
node|51119072||||||||42.5407227|1.7118709
node|51119073||||||||42.5410467|1.7119881
node|51119075||||||||42.5413625|1.7121673
node|51119076||||||||42.5419055|1.7125275
node|51119077||||||||42.5419968|1.7125821
node|51119078||||||||42.5421732|1.7125975
node|51119079||||||||42.5423396|1.7124934
node|51119081||||||||42.5424226|1.7123525
node|51119082||||||||42.5424659|1.7122151
node|51119083||||||||42.5424812|1.7119843
node|51119085||||||||42.542429|1.7116984
node|51119086||||||||42.5424508|1.7115117
node|51119088||||||||42.5425426|1.7114445
node|51119089||||||||42.5426412|1.7114979
node|51119090||||||||42.5426804|1.7116159
node|51119091||||||||42.5426725|1.711801
node|51119093||||||||42.5426701|1.712034
node|51119094||||||||42.5426921|1.7121998
node|51119096||||||||42.542706|1.7123898
node|51119097||||||||42.5426716|1.7127108
node|51119098||||||||42.5425397|1.7130462
node|51119099||||||||42.5423621|1.7133618
node|51119101||||||||42.5421777|1.7136404
